Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365),,,
09-Nov-15,BILENERGY,1,1,0,0.0766,0.0743,1.4195,,,#N/A
09-Nov-15,BILPOWER,1.25,1.25,0,0.0197,0.0191,0.3649,,,#N/A
09-Nov-15,BINANIIND,74.7,74.7,0,0.0154,0.0149,0.2847,,,#N/A
09-Nov-15,BINDALAGRO,38.65,38.55,0.0026,0.038,0.0368,0.7031,,,#N/A
09-Nov-15,BIOCON,454.8,441.85,0.0289,0.0123,0.0139,0.2656,,,#N/A
09-Nov-15,BIRLACORPN,413.9,411.8,0.0051,0.0171,0.0166,0.3171,,,#N/A
09-Nov-15,BIRLACOT,0.05,0.05,0,0.1003,0.0972,1.857,,,#N/A
09-Nov-15,BIRLAERIC,51.95,49.7,0.0443,0.0298,0.0309,0.5903,,,#N/A
09-Nov-15,BIRLAMONEY,24.15,25.1,-0.0386,0.0301,0.0307,0.5865,,,#N/A
09-Nov-15,BLBLIMITED,3.2,3.25,-0.0155,0.0295,0.0289,0.5521,,,#N/A
09-Nov-15,BLISSGVS,193.35,179.85,0.0724,0.0279,0.0323,0.6171,,,#N/A
09-Nov-15,BLKASHYAP,9.45,9.45,0,0.0309,0.03,0.5731,,,#N/A
09-Nov-15,BLUEBLENDS,18.05,18.05,0,0.0285,0.0276,0.5273,,,#N/A
09-Nov-15,BLUECHIP,0.25,0.3,-0.1823,0.1092,0.1149,2.1952,,,#N/A
09-Nov-15,BLUECOAST,84.4,84.4,0,0.0203,0.0197,0.3764,,,#N/A
09-Nov-15,BLUEDART,7371.35,7443.8,-0.0098,0.0122,0.0121,0.2312,,,#N/A
09-Nov-15,BLUESTARCO,352.2,353.5,-0.0037,0.0196,0.019,0.363,,,#N/A
09-Nov-15,BLUESTINFO,218,219.55,-0.0071,0.0349,0.0339,0.6477,,,#N/A
09-Nov-15,BODALCHEM,38.6,39.1,-0.0129,0.0347,0.0338,0.6457,,,#N/A
09-Nov-15,BOMDYEING,63.4,60.8,0.0419,0.0201,0.022,0.4203,,,#N/A
09-Nov-15,BOSCHLTD,19317.9,19365.25,-0.0024,0.0177,0.0172,0.3286,,,#N/A
09-Nov-15,BPCL,902.9,896.1,0.0076,0.0157,0.0153,0.2923,,,#N/A
09-Nov-15,BPL,34.2,34.35,-0.0044,0.0418,0.0405,0.7738,,,#N/A
09-Nov-15,BRANDHOUSE,0.4,0.35,0.1335,0.0449,0.0545,1.0412,,,#N/A
09-Nov-15,BRFL,157.25,163.35,-0.0381,0.028,0.0287,0.5483,,,#N/A
09-Nov-15,BRIGADE,155,152.15,0.0186,0.0279,0.0274,0.5235,,,#N/A
09-Nov-15,BRITANNIA,3044.55,3130,-0.0277,0.014,0.0152,0.2904,,,#N/A
09-Nov-15,BROADCAST,3.4,3.4,0,0.0171,0.0166,0.3171,,,#N/A
09-Nov-15,BROOKS,68.2,68,0.0029,0.0365,0.0354,0.6763,,,#N/A
09-Nov-15,BSELINFRA,2.1,2.05,0.0241,0.0251,0.025,0.4776,,,#N/A
09-Nov-15,BSL,55.7,56.75,-0.0187,0.0643,0.0625,1.1941,,,#N/A
09-Nov-15,BSLGOLDETF,2439.8,2400,0.0164,0.0116,0.0119,0.2273,,,BSLGOLDETF
09-Nov-15,BSLIMITED,27.35,27.15,0.0073,0.044,0.0427,0.8158,,,#N/A
09-Nov-15,BSLNIFTY,81.65,85.45,-0.0455,0.0289,0.0302,0.577,,,#N/A
09-Nov-15,BURNPUR,8.55,8.6,-0.0058,0.023,0.0223,0.426,,,#N/A
09-Nov-15,BUTTERFLY,160.05,160.65,-0.0037,0.0219,0.0213,0.4069,,,#N/A
09-Nov-15,BVCL,16.2,16.7,-0.0304,0.0428,0.0422,0.8062,,,#N/A
09-Nov-15,BYKE,164.3,160.3,0.0246,0.0175,0.018,0.3439,,,#N/A
09-Nov-15,CADILAHC,416.35,411.3,0.0122,0.0217,0.0213,0.4069,,,#N/A
09-Nov-15,CAIRN,144.9,150.8,-0.0399,0.0211,0.0227,0.4337,,,#N/A
09-Nov-15,CALSOFT,10.1,10.6,-0.0483,0.0379,0.0386,0.7375,,,#N/A
09-Nov-15,CAMLINFINE,103.05,109.4,-0.0598,0.0299,0.0325,0.6209,,,#N/A
09-Nov-15,CANBK,277.15,274.95,0.008,0.02,0.0195,0.3725,,,#N/A
09-Nov-15,CANDC,12.65,12.75,-0.0079,0.0486,0.0472,0.9018,,,#N/A
09-Nov-15,CANFINHOME,945.2,928.95,0.0173,0.0205,0.0203,0.3878,,,#N/A
09-Nov-15,CANTABIL,58.8,57.3,0.0258,0.0383,0.0377,0.7203,,,#N/A
09-Nov-15,CAPF,373.5,373.5,0,0.0165,0.016,0.3057,,,#N/A
09-Nov-15,CAPLIPOINT,1325.6,1329.95,-0.0033,0.0271,0.0263,0.5025,,,#N/A
09-Nov-15,CARBORUNIV,175.1,175.25,-0.0009,0.0149,0.0144,0.2751,,,#N/A
09-Nov-15,CAREERP,126.65,128.1,-0.0114,0.0308,0.03,0.5731,,,#N/A
09-Nov-15,CARERATING,1289.8,1289.2,0.0005,0.018,0.0175,0.3343,,,#N/A
09-Nov-15,CASTEXTECH,21.3,20.95,0.0166,0.0483,0.047,0.8979,,,#N/A
09-Nov-15,CASTROLIND,441.6,445.1,-0.0079,0.0151,0.0148,0.2828,,,#N/A
09-Nov-15,CCCL,4.2,3.85,0.087,0.0675,0.0688,1.3144,,,#N/A
09-Nov-15,CCHHL,9.8,9.6,0.0206,0.0272,0.0269,0.5139,,,#N/A
09-Nov-15,CCL,211.55,209.05,0.0119,0.0211,0.0207,0.3955,,,#N/A
09-Nov-15,CEATLTD,989.75,1014.3,-0.0245,0.0251,0.0251,0.4795,,,#N/A
09-Nov-15,CEBBCO,18.75,18.85,-0.0053,0.0366,0.0355,0.6782,,,#N/A
09-Nov-15,CELEBRITY,12.3,12.65,-0.0281,0.0374,0.0369,0.705,,,#N/A
09-Nov-15,CELESTIAL,19.6,19.4,0.0103,0.0553,0.0537,1.0259,,,#N/A
09-Nov-15,CENTENKA,177.35,176.8,0.0031,0.0275,0.0267,0.5101,,,#N/A
09-Nov-15,CENTEXT,1.55,1.55,0,0.0594,0.0576,1.1004,,,#N/A
09-Nov-15,CENTRALBK,67.55,69.3,-0.0256,0.0439,0.043,0.8215,,,#N/A
09-Nov-15,CENTUM,660.3,703.05,-0.0627,0.0212,0.0257,0.491,,,#N/A
09-Nov-15,CENTURYPLY,180.9,175.45,0.0306,0.0241,0.0245,0.4681,,,#N/A
09-Nov-15,CENTURYTEX,524.25,516.3,0.0153,0.0232,0.0228,0.4356,,,#N/A
09-Nov-15,CERA,1887.5,1877.15,0.0055,0.0297,0.0288,0.5502,,,#N/A
09-Nov-15,CEREBRAINT,24.1,20.1,0.1815,0.0395,0.0587,1.1215,,,#N/A
09-Nov-15,CESC,537.25,538.55,-0.0024,0.0205,0.0199,0.3802,,,#N/A
09-Nov-15,CGCL,149.9,147.2,0.0182,0.0284,0.0279,0.533,,,#N/A
09-Nov-15,CHAMBLFERT,54.45,55.2,-0.0137,0.0131,0.0131,0.2503,,,#N/A
09-Nov-15,CHEMFALKAL,92.5,94.25,-0.0187,0.022,0.0218,0.4165,,,#N/A
09-Nov-15,CHENNPETRO,193.9,190.25,0.019,0.0397,0.0388,0.7413,,,#N/A
09-Nov-15,CHOLAFIN,619.9,612.95,0.0113,0.0166,0.0163,0.3114,,,#N/A
09-Nov-15,CHROMATIC,3.1,3,0.0328,0.036,0.0358,0.684,,,#N/A
09-Nov-15,CIGNITITEC,484.35,485.4,-0.0022,0.0216,0.0209,0.3993,,,#N/A
09-Nov-15,CIMMCO,69.55,67.7,0.027,0.0299,0.0297,0.5674,,,#N/A
09-Nov-15,CINELINE,16.1,16.25,-0.0093,0.0308,0.0299,0.5712,,,#N/A
09-Nov-15,CINEVISTA,4.35,4.4,-0.0114,0.0638,0.0619,1.1826,,,#N/A
09-Nov-15,CIPLA,647.6,658.15,-0.0162,0.0136,0.0138,0.2636,,,#N/A
09-Nov-15,CLNINDIA,755.85,760.9,-0.0067,0.0147,0.0143,0.2732,,,#N/A
09-Nov-15,CLUTCHAUTO,12,12,0,0.0048,0.0047,0.0898,,,#N/A
09-Nov-15,CMAHENDRA,1.95,2.05,-0.05,0.0368,0.0377,0.7203,,,#N/A
