SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
PEL, D1, 17-May-2018, 103000.00, 104000.00, 104000.00, 104000.00, 104000.00, 104000.00, 104000.00, 58, 60.32, 13, 58, 100.00
PEL, EQ, 17-May-2018, 2418.75, 2420.50, 2445.00, 2390.00, 2392.50, 2397.70, 2414.52, 86293, 2083.57, 8266, 47517, 55.06
PENIND, EQ, 17-May-2018, 53.15, 54.00, 54.00, 53.00, 53.35, 53.10, 53.31, 92173, 49.14, 658, 53678, 58.24
PENINLAND, EQ, 17-May-2018, 21.20, 21.65, 21.80, 20.70, 21.00, 20.90, 21.06, 623240, 131.26, 2032, 300815, 48.27
PENPEBS, EQ, 17-May-2018, 76.95, 79.75, 79.75, 76.20, 78.00, 77.95, 77.87, 2799, 2.18, 42, 2017, 72.06
PENTAGOLD, SM, 17-May-2018, 38.50, 39.00, 39.00, 39.00, 39.00, 39.00, 39.00, 12000, 4.68, 3, 12000, 100.00
PERSISTENT, EQ, 17-May-2018, 801.60, 798.35, 839.00, 798.35, 802.75, 806.45, 824.73, 540809, 4460.21, 15303, 402047, 74.34
PETRONENGG, BE, 17-May-2018, 71.05, 74.60, 74.60, 70.40, 71.05, 71.85, 73.24, 5135, 3.76, 79, -, -
PETRONET, EQ, 17-May-2018, 203.05, 203.10, 226.25, 202.05, 219.35, 218.55, 218.10, 18353802, 40030.45, 122232, 7158085, 39.00
PFC, EQ, 17-May-2018, 76.55, 76.70, 78.15, 75.70, 76.65, 76.75, 76.75, 6620909, 5081.26, 26892, 3002426, 45.35
PFC, N3, 17-May-2018, 1165.00, 1165.00, 1180.55, 1165.00, 1180.55, 1180.55, 1180.34, 283, 3.34, 3, 283, 100.00
PFC, N8, 17-May-2018, 1285.00, 1281.00, 1290.00, 1280.00, 1288.00, 1287.28, 1287.48, 880, 11.33, 16, 770, 87.50
PFIZER, EQ, 17-May-2018, 2448.60, 2467.00, 2472.00, 2431.05, 2450.00, 2451.35, 2451.12, 18886, 462.92, 1885, 10438, 55.27
PFOCUS, EQ, 17-May-2018, 87.30, 88.50, 91.00, 85.20, 86.05, 87.30, 88.26, 37314, 32.93, 305, 25379, 68.01
PFS, EQ, 17-May-2018, 21.15, 21.10, 21.75, 20.55, 20.75, 20.75, 21.03, 1161902, 244.31, 4443, 550066, 47.34
PGEL, EQ, 17-May-2018, 237.30, 242.35, 269.10, 235.00, 242.00, 243.25, 241.01, 20656, 49.78, 554, 9457, 45.78
PGHH, EQ, 17-May-2018, 9396.55, 9390.00, 9569.75, 9150.00, 9150.20, 9206.30, 9264.84, 1826, 169.18, 912, 881, 48.25
PGIL, EQ, 17-May-2018, 111.20, 110.05, 113.90, 110.05, 112.80, 112.60, 112.57, 26683, 30.04, 83, 21588, 80.91
PHILIPCARB, EQ, 17-May-2018, 232.95, 235.15, 244.55, 233.30, 242.50, 242.45, 242.16, 2077841, 5031.66, 19659, 462033, 22.24
PHOENIXLTD, EQ, 17-May-2018, 684.55, 689.70, 699.90, 682.00, 693.00, 686.95, 689.05, 81687, 562.86, 6509, 47994, 58.75
PIDILITIND, EQ, 17-May-2018, 1093.85, 1098.00, 1099.90, 1068.45, 1072.55, 1072.15, 1085.64, 577284, 6267.22, 21076, 379886, 65.81
PIIND, EQ, 17-May-2018, 812.30, 812.55, 864.00, 812.55, 835.00, 823.40, 838.86, 611361, 5128.47, 36248, 348871, 57.06
PILANIINVS, BE, 17-May-2018, 2600.00, 2639.90, 2690.00, 2610.00, 2640.00, 2637.15, 2683.35, 787, 21.12, 17, -, -
PILITA, EQ, 17-May-2018, 13.20, 13.35, 13.45, 12.90, 12.90, 12.90, 13.12, 18865, 2.48, 78, 7936, 42.07
PINCON, EQ, 17-May-2018, 22.95, 22.50, 23.35, 22.20, 22.40, 22.40, 22.55, 216914, 48.92, 1050, 129734, 59.81
PIONDIST, EQ, 17-May-2018, 269.40, 267.05, 282.85, 261.55, 282.85, 282.85, 274.89, 186640, 513.05, 2950, 60254, 32.28
PIONEEREMB, EQ, 17-May-2018, 27.80, 28.00, 28.25, 27.00, 27.75, 27.50, 27.61, 10813, 2.99, 108, 7377, 68.22
