SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
PONNIERODE, EQ, 22-May-2018, 131.05, 131.10, 141.00, 130.60, 141.00, 139.25, 137.48, 1667, 2.29, 113, 1051, 63.05
POWERGRID, EQ, 22-May-2018, 212.65, 213.75, 214.00, 209.50, 210.40, 210.75, 212.13, 5293836, 11229.61, 52591, 3853871, 72.80
POWERMECH, EQ, 22-May-2018, 992.05, 1008.00, 1008.00, 961.35, 967.50, 971.70, 980.50, 7023, 68.86, 367, 5823, 82.91
PPAP, EQ, 22-May-2018, 531.35, 533.95, 554.60, 532.00, 540.00, 537.90, 542.70, 38452, 208.68, 1328, 19745, 51.35
PRABHAT, EQ, 22-May-2018, 173.65, 174.95, 178.35, 174.10, 177.85, 177.65, 176.74, 129057, 228.10, 2441, 96203, 74.54
PRADIP, BE, 22-May-2018, 1.40, 1.40, 1.40, 1.40, 1.40, 1.40, 1.40, 880, 0.01, 6, -, -
PRAENG, EQ, 22-May-2018, 9.75, 9.85, 9.85, 9.00, 9.35, 9.35, 9.25, 101411, 9.38, 253, 59278, 58.45
PRAJIND, EQ, 22-May-2018, 92.35, 92.75, 100.35, 92.25, 99.80, 99.55, 96.92, 1842729, 1785.89, 14769, 462701, 25.11
PRAKASH, EQ, 22-May-2018, 170.20, 170.40, 173.25, 167.40, 169.90, 169.90, 170.43, 792105, 1349.95, 6725, 359685, 45.41
PRAKASHCON, EQ, 22-May-2018, 6.70, 6.70, 6.70, 6.45, 6.45, 6.45, 6.53, 359335, 23.46, 276, 226074, 62.91
PRATIBHA, BE, 22-May-2018, 3.90, 3.75, 4.05, 3.75, 3.80, 3.80, 3.88, 75879, 2.94, 112, -, -
PRAXIS, BE, 22-May-2018, 231.55, 224.20, 234.00, 220.00, 233.85, 227.85, 223.25, 11276, 25.17, 221, -, -
PRECAM, EQ, 22-May-2018, 96.75, 96.75, 100.20, 95.10, 97.55, 98.55, 98.86, 156592, 154.81, 401, 147180, 93.99
PRECOT, EQ, 22-May-2018, 50.15, 51.00, 52.85, 51.00, 52.85, 52.60, 51.66, 1963, 1.01, 17, 1905, 97.05
PRECWIRE, EQ, 22-May-2018, 289.65, 290.00, 291.85, 281.00, 285.10, 285.20, 285.24, 20465, 58.37, 542, 14828, 72.46
PREMEXPLN, EQ, 22-May-2018, 324.55, 324.00, 325.00, 316.40, 322.00, 321.45, 320.89, 15807, 50.72, 199, 10828, 68.50
PREMIER, EQ, 22-May-2018, 16.25, 16.90, 17.00, 15.90, 15.90, 15.95, 16.40, 13002, 2.13, 193, 7951, 61.15
PREMIERPOL, EQ, 22-May-2018, 38.00, 36.60, 38.00, 36.00, 36.00, 36.85, 37.34, 2022, 0.76, 47, 1075, 53.17
PRESSMN, EQ, 22-May-2018, 47.20, 48.75, 48.75, 45.20, 46.70, 46.40, 46.44, 8069, 3.75, 114, 4789, 59.35
PRESTIGE, EQ, 22-May-2018, 276.70, 273.55, 281.40, 270.00, 271.00, 271.75, 274.88, 31640, 86.97, 1243, 14732, 46.56
PRICOLLTD, EQ, 22-May-2018, 80.50, 82.90, 82.90, 80.20, 80.90, 80.90, 81.26, 91452, 74.31, 752, 47052, 51.45
PRIMESECU, EQ, 22-May-2018, 40.65, 39.40, 41.60, 39.40, 40.15, 40.15, 40.67, 21646, 8.80, 205, 13262, 61.27
PROLIFE, SM, 22-May-2018, 30.50, 29.00, 32.00, 29.00, 32.00, 32.00, 30.50, 12000, 3.66, 4, 9000, 75.00
PROVOGE, EQ, 22-May-2018, 4.70, 4.65, 4.80, 4.65, 4.65, 4.65, 4.70, 25856, 1.21, 78, 16611, 64.24
PROZONINTU, EQ, 22-May-2018, 45.85, 45.70, 47.20, 45.00, 46.45, 46.60, 46.41, 89779, 41.67, 603, 42786, 47.66
PRSMJOHNSN, EQ, 22-May-2018, 101.80, 102.00, 105.50, 100.55, 103.85, 104.45, 103.32, 95439, 98.61, 1962, 43916, 46.01
PSB, EQ, 22-May-2018, 31.15, 31.15, 31.60, 30.55, 31.05, 31.25, 31.21, 67745, 21.14, 386, 38199, 56.39
PSL, EQ, 22-May-2018, 2.85, 2.75, 2.85, 2.75, 2.80, 2.80, 2.78, 8548, 0.24, 31, 6350, 74.29
PSPPROJECT, EQ, 22-May-2018, 521.10, 523.15, 534.90, 520.70, 526.00, 528.35, 528.78, 22724, 120.16, 750, 15456, 68.02
PSUBNKBEES, EQ, 22-May-2018, 301.72, 302.30, 318.40, 300.00, 314.60, 313.25, 309.19, 16398, 50.70, 258, 5583, 34.05
PTC, EQ, 22-May-2018, 78.70, 78.70, 81.30, 77.20, 80.60, 80.80, 79.63, 4200585, 3345.02, 29579, 1449431, 34.51
PTL, EQ, 22-May-2018, 51.40, 49.15, 52.90, 49.10, 52.50, 52.25, 51.35, 16275, 8.36, 226, 9239, 56.77
PULZ, SM, 22-May-2018, 43.75, 39.90, 40.00, 39.90, 40.00, 40.00, 39.95, 4000, 1.60, 2, 2000, 50.00
PUNJABCHEM, EQ, 22-May-2018, 478.10, 474.05, 479.45, 463.00, 463.50, 465.25, 469.73, 13986, 65.70, 352, 11291, 80.73
PUNJLLOYD, EQ, 22-May-2018, 15.05, 15.25, 15.90, 14.70, 15.50, 15.45, 15.18, 674363, 102.39, 2163, 203030, 30.11
PURVA, EQ, 22-May-2018, 127.45, 128.00, 131.35, 126.00, 127.00, 127.85, 128.77, 167394, 215.56, 3106, 75397, 45.04
PUSHPREALM, SM, 22-May-2018, 63.95, 58.00, 58.00, 51.20, 53.60, 53.60, 53.53, 32000, 17.13, 16, 24000, 75.00
PVP, EQ, 22-May-2018, 4.40, 4.40, 4.50, 4.30, 4.35, 4.40, 4.40, 56153, 2.47, 110, 38632, 68.80
PVR, EQ, 22-May-2018, 1336.55, 1337.00, 1376.15, 1320.15, 1361.50, 1361.90, 1359.34, 199201, 2707.82, 5345, 127815, 64.16
QGOLDHALF, EQ, 22-May-2018, 1370.50, 1377.95, 1380.00, 1371.00, 1380.00, 1380.00, 1378.98, 354, 4.88, 51, 240, 67.80
QUESS, EQ, 22-May-2018, 1106.55, 1109.80, 1133.00, 1089.55, 1128.80, 1117.05, 1120.89, 111666, 1251.66, 10268, 71444, 63.98
QUICKHEAL, EQ, 22-May-2018, 304.95, 304.90, 310.50, 301.85, 306.00, 305.70, 306.92, 153236, 470.32, 3249, 41841, 27.30
RADICO, EQ, 22-May-2018, 401.75, 402.00, 425.00, 397.20, 422.70, 422.65, 419.11, 1592966, 6676.27, 36169, 338235, 21.23
RADIOCITY, EQ, 22-May-2018, 334.45, 330.35, 340.00, 330.35, 338.00, 336.80, 334.66, 10714, 35.86, 636, 7443, 69.47
RAIN, EQ, 22-May-2018, 222.60, 223.00, 232.55, 223.00, 229.50, 227.40, 227.59, 2993470, 6812.72, 34884, 674896, 22.55
RAINBOWPAP, EQ, 22-May-2018, 2.00, 2.05, 2.10, 1.95, 2.10, 2.05, 2.04, 104817, 2.14, 81, 79804, 76.14
RAJESHEXPO, EQ, 22-May-2018, 632.00, 632.60, 636.95, 622.00, 623.40, 622.80, 629.77, 103791, 653.64, 3780, 55877, 53.84
RAJOIL, BZ, 22-May-2018, 1.70, 1.70, 1.75, 1.65, 1.65, 1.65, 1.66, 28359, 0.47, 32, -, -
RAJRAYON, BE, 22-May-2018, 0.25, 0.20, 0.25, 0.20, 0.20, 0.20, 0.20, 132489, 0.27, 51, -, -
RAJSREESUG, EQ, 22-May-2018, 27.95, 29.35, 33.50, 28.05, 32.80, 32.90, 32.21, 267849, 86.27, 1356, 74134, 27.68
RAJTV, EQ, 22-May-2018, 50.60, 51.00, 51.90, 49.40, 50.00, 50.40, 50.43, 4292, 2.16, 71, 3052, 71.11
RALLIS, EQ, 22-May-2018, 206.65, 206.00, 206.70, 201.75, 205.80, 204.60, 204.68, 141807, 290.25, 1959, 109216, 77.02
RAMANEWS, EQ, 22-May-2018, 24.95, 25.00, 25.70, 24.05, 24.35, 24.25, 24.44, 73614, 17.99, 297, 47669, 64.76
