,Company Name,Symbol,daily_percent%,yearly %,Industry
7,Aurobindo Pharma Ltd.,AUROPHARMA,1.78,34.01,PHARMA
15,Bharat Heavy Electricals Ltd.,BHEL,1.77,33.82,INDUSTRIAL MANUFACTURING
71,Oil & Natural Gas Corporation Ltd.,ONGC,1.7399999999999998,33.239999999999995,ENERGY
69,Oracle Financial Services Software Ltd.,OFSS,1.72,32.86,IT
63,United Spirits Ltd.,MCDOWELL-N,1.71,32.67,CONSUMER GOODS
96,UPL Ltd.,UPL,1.7000000000000002,32.48,FERTILISERS & PESTICIDES
75,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,1.69,32.29,CONSUMER GOODS
20,Cipla Ltd.,CIPLA,1.69,32.29,PHARMA
82,SBI Life Insurance Company Ltd.,SBILIFE,1.68,32.1,FINANCIAL SERVICES
44,Indiabulls Housing Finance Ltd.,IBULHSGFIN,1.68,32.1,FINANCIAL SERVICES
4,Ambuja Cements Ltd.,AMBUJACEM,1.63,31.14,CEMENT & CEMENT PRODUCTS
85,Siemens Ltd.,SIEMENS,1.63,31.14,INDUSTRIAL MANUFACTURING
31,GAIL (India) Ltd.,GAIL,1.5699999999999998,29.99,ENERGY
21,Coal India Ltd.,COALINDIA,1.55,29.609999999999996,METALS
95,UltraTech Cement Ltd.,ULTRACEMCO,1.54,29.42,CEMENT & CEMENT PRODUCTS
93,Tech Mahindra Ltd.,TECHM,1.54,29.42,IT
43,Hindustan Zinc Ltd.,HINDZINC,1.53,29.23,METALS
61,Marico Ltd.,MARICO,1.53,29.23,CONSUMER GOODS
79,Rural Electrification Corporation Ltd.,RECLTD,1.52,29.04,FINANCIAL SERVICES
1,Aditya Birla Capital Ltd.,ABCAPITAL,1.52,29.04,FINANCIAL SERVICES
22,Colgate Palmolive (India) Ltd.,COLPAL,1.5,28.660000000000004,CONSUMER GOODS
98,Wipro Ltd.,WIPRO,1.5,28.660000000000004,IT
24,Cummins India Ltd.,CUMMINSIND,1.5,28.660000000000004,INDUSTRIAL MANUFACTURING
94,Titan Company Ltd.,TITAN,1.49,28.470000000000002,CONSUMER GOODS
6,Asian Paints Ltd.,ASIANPAINT,1.49,28.470000000000002,CONSUMER GOODS
92,Tata Consultancy Services Ltd.,TCS,1.48,28.28,IT
29,Eicher Motors Ltd.,EICHERMOT,1.47,28.08,AUTOMOBILE
23,Container Corporation of India Ltd.,CONCOR,1.47,28.08,SERVICES
57,LIC Housing Finance Ltd.,LICHSGFIN,1.46,27.889999999999997,FINANCIAL SERVICES
3,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,1.46,27.889999999999997,SERVICES
16,Bosch Ltd.,BOSCHLTD,1.46,27.889999999999997,AUTOMOBILE
50,Bharti Infratel Ltd.,INFRATEL,1.46,27.889999999999997,TELECOM
59,Lupin Ltd.,LUPIN,1.43,27.32,PHARMA
76,Pidilite Industries Ltd.,PIDILITIND,1.4200000000000002,27.13,CHEMICALS
30,Emami Ltd.,EMAMILTD,1.4200000000000002,27.13,CONSUMER GOODS
100,Zee Entertainment Enterprises Ltd.,ZEEL,1.41,26.939999999999998,MEDIA & ENTERTAINMENT
42,Hindustan Unilever Ltd.,HINDUNILVR,1.41,26.939999999999998,CONSUMER GOODS
9,Bajaj Auto Ltd.,BAJAJ-AUTO,1.39,26.56,AUTOMOBILE
72,Piramal Enterprises Ltd.,PEL,1.3599999999999999,25.979999999999997,PHARMA
60,Mahindra & Mahindra Ltd.,M&M,1.3599999999999999,25.979999999999997,AUTOMOBILE
2,ACC Ltd.,ACC,1.34,25.6,CEMENT & CEMENT PRODUCTS
33,Godrej Consumer Products Ltd.,GODREJCP,1.34,25.6,CONSUMER GOODS
53,I T C Ltd.,ITC,1.3299999999999998,25.41,CONSUMER GOODS
80,Reliance Industries Ltd.,RELIANCE,1.31,25.03,ENERGY
66,NHPC Ltd.,NHPC,1.31,25.03,ENERGY
58,Larsen & Toubro Ltd.,LT,1.31,25.03,CONSTRUCTION
65,MRF Ltd.,MRF,1.29,24.65,AUTOMOBILE
84,Shree Cement Ltd.,SHREECEM,1.29,24.65,CEMENT & CEMENT PRODUCTS
55,Kotak Mahindra Bank Ltd.,KOTAKBANK,1.29,24.65,FINANCIAL SERVICES
18,Britannia Industries Ltd.,BRITANNIA,1.29,24.65,CONSUMER GOODS
67,NMDC Ltd.,NMDC,1.29,24.65,METALS
32,General Insurance Corporation of India,GICRE,1.27,24.26,FINANCIAL SERVICES
34,Grasim Industries Ltd.,GRASIM,1.24,23.69,CEMENT & CEMENT PRODUCTS
0,ABB India Ltd.,ABB,1.23,23.5,INDUSTRIAL MANUFACTURING
51,Infosys Ltd.,INFY,1.16,22.16,IT
49,IndusInd Bank Ltd.,INDUSINDBK,1.15,21.97,FINANCIAL SERVICES
68,NTPC Ltd.,NTPC,1.13,21.59,ENERGY
37,Housing Development Finance Corporation Ltd.,HDFC,1.11,21.21,FINANCIAL SERVICES
39,Hero MotoCorp Ltd.,HEROMOTOCO,1.04,19.869999999999997,AUTOMOBILE
25,Dabur India Ltd.,DABUR,1.0,19.1,CONSUMER GOODS
62,Maruti Suzuki India Ltd.,MARUTI,0.97,18.529999999999998,AUTOMOBILE
78,Power Grid Corporation of India Ltd.,POWERGRID,0.95,18.15,ENERGY
38,HDFC Bank Ltd.,HDFCBANK,0.8200000000000001,15.67,FINANCIAL SERVICES
